colt_TripID,our_Trip_ID,President,Destination_Country,Start_Date,discrepancias
2029-URY-QAT-39204,1382,Tabaré Vázquez,Qatar,2007-05-01,TripStartDate: nuestra fecha=2007-05-01 vs COLT=2007-05-02 (dif. 1d)
2029-URY-PRY-39262,1383,Tabaré Vázquez,Paraguay,2007-06-28,TripStartDate: nuestra fecha=2007-06-28 vs COLT=2007-06-29 (dif. 1d)
2029-URY-CHL-39393,1385,Tabaré Vázquez,Chile,2007-11-08,TripStartDate: nuestra fecha=2007-11-08 vs COLT=2007-11-07 (dif. 1d) | TripEndDate: nuestra fecha=2007-11-10 vs COLT=2007-11-09 (dif. 1d)
2029-URY-CUB-39616,1387,Tabaré Vázquez,Cuba,2008-06-18,TripStartDate: nuestra fecha=2008-06-18 vs COLT=2008-06-17 (dif. 1d) | TripEndDate: nuestra fecha=2008-06-20 vs COLT=2008-06-21 (dif. 1d)
2029-URY-MEX-39620,1388,Tabaré Vázquez,Mexico,2008-06-21,TripEndDate: nuestra fecha=2008-06-22 vs COLT=2008-06-25 (dif. 3d)
2029-URY-KOR-39690,1389,Tabaré Vázquez,South Korea,2008-09-01,TripStartDate: nuestra fecha=2008-09-01 vs COLT=2008-08-30 (dif. 2d)
2029-URY-BRA-39798,1391,Tabaré Vázquez,Brazil,2008-12-15,TripStartDate: nuestra fecha=2008-12-15 vs COLT=2008-12-16 (dif. 1d) | TripEndDate: nuestra fecha=2008-12-17 vs COLT=2008-12-18 (dif. 1d)
2029-URY-BRA-39882,1393,Tabaré Vázquez,Brazil,2009-03-10,TripEndDate: nuestra fecha=2009-03-10 vs COLT=2009-03-11 (dif. 1d)
2029-URY-CHN-39893,1394,Tabaré Vázquez,China,2009-03-19,TripStartDate: nuestra fecha=2009-03-19 vs COLT=2009-03-21 (dif. 2d) | TripEndDate: nuestra fecha=2009-03-23 vs COLT=2009-03-25 (dif. 2d)
2029-URY-CRI-39925,1395,Tabaré Vázquez,Costa Rica,2009-04-23,TripStartDate: nuestra fecha=2009-04-23 vs COLT=2009-04-22 (dif. 1d) | TripEndDate: nuestra fecha=2009-04-24 vs COLT=2009-04-23 (dif. 1d)
2029-URY-USA-40067,1399,Tabaré Vázquez,United States,2009-09-12,TripStartDate: nuestra fecha=2009-09-12 vs COLT=2009-09-11 (dif. 1d) | TripEndDate: nuestra fecha=2009-09-18 vs COLT=2009-09-16 (dif. 2d)
2029-URY-VEN-40080,1400,Tabaré Vázquez,Venezuela,2009-09-27,TripStartDate: nuestra fecha=2009-09-27 vs COLT=2009-09-24 (dif. 3d) | TripEndDate: nuestra fecha=2009-09-28 vs COLT=2009-09-26 (dif. 2d)
2552-URY-BRA-40544,1403,José Mujica,Brazil,2011-01-01,TripEndDate: nuestra fecha=2011-01-01 vs COLT=2011-01-02 (dif. 1d)
2552-URY-PRY-40722,1404,José Mujica,Paraguay,2011-06-29,TripStartDate: nuestra fecha=2011-06-29 vs COLT=2011-06-28 (dif. 1d) | TripEndDate: nuestra fecha=2011-06-30 vs COLT=2011-06-29 (dif. 1d)
2552-URY-PER-40752,1405,José Mujica,Peru,2011-07-27,TripStartDate: nuestra fecha=2011-07-27 vs COLT=2011-07-28 (dif. 1d)
2552-URY-SWE-40827,1406,José Mujica,Sweden,2011-10-12,TripStartDate: nuestra fecha=2011-10-12 vs COLT=2011-10-11 (dif. 1d) | TripEndDate: nuestra fecha=2011-10-12 vs COLT=2011-10-13 (dif. 1d)
2552-URY-NOR-40829,1407,José Mujica,Norway,2011-10-13,TripEndDate: nuestra fecha=2011-10-14 vs COLT=2011-10-17 (dif. 3d)
2552-URY-BEL-40835,1409,José Mujica,Belgium,2011-10-19,TripEndDate: nuestra fecha=2011-10-20 vs COLT=2011-10-21 (dif. 1d)
2552-URY-MEX-40862,1411,José Mujica,Mexico,2011-11-15,TripEndDate: nuestra fecha=2011-11-19 vs COLT=2011-11-17 (dif. 2d)
2552-URY-COL-41013,1412,José Mujica,Colombia,2012-04-13,TripStartDate: nuestra fecha=2012-04-13 vs COLT=2012-04-14 (dif. 1d)
2552-URY-ARG-41088,1413,José Mujica,Argentina,2012-06-29,TripStartDate: nuestra fecha=2012-06-29 vs COLT=2012-06-28 (dif. 1d)
2552-URY-BRA-41081,1414,José Mujica,Brazil,2012-06-20,TripStartDate: nuestra fecha=2012-06-20 vs COLT=2012-06-21 (dif. 1d) | TripEndDate: nuestra fecha=2012-06-22 vs COLT=2012-06-21 (dif. 1d)
2552-URY-BRA-41121,1415,José Mujica,Brazil,2012-07-30,TripStartDate: nuestra fecha=2012-07-30 vs COLT=2012-07-31 (dif. 1d)
2552-URY-CHL-41299,1417,José Mujica,Chile,2013-01-26,TripStartDate: nuestra fecha=2013-01-26 vs COLT=2013-01-25 (dif. 1d) | TripEndDate: nuestra fecha=2013-01-28 vs COLT=2013-01-27 (dif. 1d)
2552-URY-VEN-41339,1418,José Mujica,Venezuela,2013-03-06,TripEndDate: nuestra fecha=2013-03-08 vs COLT=2013-03-06 (dif. 2d)
2552-URY-CHN-41419,1419,José Mujica,China,2013-05-24,TripStartDate: nuestra fecha=2013-05-24 vs COLT=2013-05-25 (dif. 1d)
2552-URY-ESP-41423,1420,José Mujica,Spain,2013-05-28,TripStartDate: nuestra fecha=2013-05-28 vs COLT=2013-05-29 (dif. 1d) | TripEndDate: nuestra fecha=2013-06-06 vs COLT=2013-05-31 (dif. 6d)
2552-URY-USA-41541,1422,José Mujica,United States,2013-09-24,TripEndDate: nuestra fecha=2013-09-24 vs COLT=2013-09-29 (dif. 5d)
2552-URY-CUB-41667,1423,José Mujica,Cuba,2014-01-28,TripEndDate: nuestra fecha=2014-01-29 vs COLT=2014-01-30 (dif. 1d)
2552-URY-CHL-41708,1424,José Mujica,Chile,2014-03-11,TripStartDate: nuestra fecha=2014-03-11 vs COLT=2014-03-10 (dif. 1d)
2552-URY-USA-41770,1425,José Mujica,United States,2014-05-11,TripEndDate: nuestra fecha=2014-05-15 vs COLT=2014-05-14 (dif. 1d)
2552-URY-PRY-41838,1426,José Mujica,Paraguay,2014-07-18,TripEndDate: nuestra fecha=2014-07-19 vs COLT=2014-07-18 (dif. 1d)
2552-URY-VEN-41848,1427,José Mujica,Venezuela,2014-07-29,TripStartDate: nuestra fecha=2014-07-29 vs COLT=2014-07-28 (dif. 1d)
2552-URY-ARG-41990,1428,José Mujica,Argentina,2014-12-16,TripStartDate: nuestra fecha=2014-12-16 vs COLT=2014-12-17 (dif. 1d)
2552-URY-MEX-41979,1429,José Mujica,Mexico,2014-12-08,TripStartDate: nuestra fecha=2014-12-08 vs COLT=2014-12-06 (dif. 2d) | TripEndDate: nuestra fecha=2014-12-09 vs COLT=2014-12-08 (dif. 1d)
2029-URY-BRA-42143,1433,Tabaré Vázquez,Brazil,2015-05-21,TripStartDate: nuestra fecha=2015-05-21 vs COLT=2015-05-19 (dif. 2d)
2029-URY-BRA-42202,1434,Tabaré Vázquez,Brazil,2015-07-16,TripStartDate: nuestra fecha=2015-07-16 vs COLT=2015-07-17 (dif. 1d)
2029-URY-USA-42275,1436,Tabaré Vázquez,United States,2015-09-25,TripStartDate: nuestra fecha=2015-09-25 vs COLT=2015-09-28 (dif. 3d) | TripEndDate: nuestra fecha=2015-09-28 vs COLT=2015-09-30 (dif. 2d)
2029-URY-USA-42631,1438,Tabaré Vázquez,United States,2016-09-19,TripStartDate: nuestra fecha=2016-09-19 vs COLT=2016-09-18 (dif. 1d) | TripEndDate: nuestra fecha=2016-09-21 vs COLT=2016-09-22 (dif. 1d)
2029-URY-CHN-42655,1439,Tabaré Vázquez,China,2016-10-10,TripStartDate: nuestra fecha=2016-10-10 vs COLT=2016-10-12 (dif. 2d) | TripEndDate: nuestra fecha=2016-10-20 vs COLT=2016-10-21 (dif. 1d)
2029-URY-EGY-42885,1440,Tabaré Vázquez,Egypt,2017-05-31,TripStartDate: nuestra fecha=2017-05-31 vs COLT=2017-05-30 (dif. 1d) | TripEndDate: nuestra fecha=2017-06-01 vs COLT=2017-06-02 (dif. 1d)
2029-URY-CHE-42890,1441,Tabaré Vázquez,Switzerland,2017-06-03,TripStartDate: nuestra fecha=2017-06-03 vs COLT=2017-06-04 (dif. 1d)
2029-URY-MEX-43052,1443,Tabaré Vázquez,Mexico,2017-11-14,TripStartDate: nuestra fecha=2017-11-14 vs COLT=2017-11-13 (dif. 1d) | TripEndDate: nuestra fecha=2017-11-15 vs COLT=2017-11-17 (dif. 2d)
2029-URY-PER-43203,1444,Tabaré Vázquez,Peru,2018-04-13,TripEndDate: nuestra fecha=2018-04-14 vs COLT=2018-04-15 (dif. 1d)
2029-URY-ARG-43809,1447,Tabaré Vázquez,Argentina,2019-12-10,TripEndDate: nuestra fecha=2019-12-10 vs COLT=2019-12-11 (dif. 1d)
3698-URY-USA-44460,1451,Luis Lacalle Pou,United States,2021-09-20,TripStartDate: nuestra fecha=2021-09-20 vs COLT=2021-09-21 (dif. 1d)
3698-URY-QAT-44540,1452,Luis Lacalle Pou,Qatar,2021-12-12,TripStartDate: nuestra fecha=2021-12-12 vs COLT=2021-12-10 (dif. 2d) | TripEndDate: nuestra fecha=2021-12-13 vs COLT=2021-12-14 (dif. 1d)
3698-URY-ARE-44611,1454,Luis Lacalle Pou,United Arab Emirates,2022-02-18,TripStartDate: nuestra fecha=2022-02-18 vs COLT=2022-02-19 (dif. 1d)
3698-URY-CHL-44630,1455,Luis Lacalle Pou,Chile,2022-03-11,TripStartDate: nuestra fecha=2022-03-11 vs COLT=2022-03-10 (dif. 1d)
3698-URY-GBR-44703,1457,Luis Lacalle Pou,United Kingdom,2022-05-21,TripStartDate: nuestra fecha=2022-05-21 vs COLT=2022-05-22 (dif. 1d)
3698-URY-COL-44742,1458,Luis Lacalle Pou,Colombia,2022-06-30,TripEndDate: nuestra fecha=2022-07-03 vs COLT=2022-07-04 (dif. 1d)
3698-URY-DOM-45008,1462,Luis Lacalle Pou,Dominican Republic,2023-03-24,TripStartDate: nuestra fecha=2023-03-24 vs COLT=2023-03-23 (dif. 1d) | TripEndDate: nuestra fecha=2023-03-29 vs COLT=2023-03-28 (dif. 1d)
3698-URY-USA-45090,1464,Luis Lacalle Pou,United States,2023-06-12,TripStartDate: nuestra fecha=2023-06-12 vs COLT=2023-06-13 (dif. 1d)
3698-URY-BEL-45123,1466,Luis Lacalle Pou,Belgium,2023-07-17,TripStartDate: nuestra fecha=2023-07-17 vs COLT=2023-07-16 (dif. 1d)
3698-URY-CHL-45179,1467,Luis Lacalle Pou,Chile,2023-09-11,TripStartDate: nuestra fecha=2023-09-11 vs COLT=2023-09-10 (dif. 1d)
3698-URY-USA-45186,1469,Luis Lacalle Pou,United States,2023-09-17,TripEndDate: nuestra fecha=2023-09-21 vs COLT=2023-09-22 (dif. 1d)
3698-URY-USA-45231,1470,Luis Lacalle Pou,United States,2023-11-03,TripStartDate: nuestra fecha=2023-11-03 vs COLT=2023-11-01 (dif. 2d) | TripEndDate: nuestra fecha=2023-11-03 vs COLT=2023-11-04 (dif. 1d)
3698-URY-CHN-45251,1471,Luis Lacalle Pou,China,2023-11-20,TripStartDate: nuestra fecha=2023-11-20 vs COLT=2023-11-21 (dif. 1d)
3698-URY-ARG-45269,1472,Luis Lacalle Pou,Argentina,2023-12-09,TripEndDate: nuestra fecha=2023-12-10 vs COLT=2023-12-11 (dif. 1d)
3698-URY-PRY-45479,1475,Luis Lacalle Pou,Paraguay,2024-07-07,TripStartDate: nuestra fecha=2024-07-07 vs COLT=2024-07-06 (dif. 1d)
3698-URY-ARG-45490,1476,Luis Lacalle Pou,Argentina,2024-07-17,TripEndDate: nuestra fecha=2024-07-18 vs COLT=2024-07-17 (dif. 1d)
4217-URY-PAN-45753,1480,Yamandú Orsi,Panama,2025-04-07,TripStartDate: nuestra fecha=2025-04-07 vs COLT=2025-04-06 (dif. 1d)
