"TripID","TripStartDate","Periodo5","CountryVisited","presidente_origen","ideology_origen","Mandato_asignado_inicio","Mandato_asignado_fin","ideology_destino","presidente_destino","bloque_origen","bloque_destino","misma_ideologia"
"2117-BOL-PER-39295",2007-08-01,2005,"Peru","Juan Evo Morales Ayma1",2.20000004768372,2006-07-28,2011-07-28,5.67000007629395,"Alan Gabriel Ludwig Garcia Perez2","Izquierda","Derecha",FALSE
"2117-BOL-PER-40470",2010-10-19,2010,"Peru","Juan Evo Morales Ayma2",2.90000009536743,2006-07-28,2011-07-28,5.67000007629395,"Alan Gabriel Ludwig Garcia Perez2","Izquierda","Derecha",FALSE
"2117-BOL-PER-42178",2015-06-23,2015,"Peru","Juan Evo Morales Ayma3",4,2011-07-28,2016-07-28,4.55999994277954,"Ollanta Moises Humala Tasso","Centro","Centro",TRUE
"2117-BOL-PER-42979",2017-09-01,2015,"Peru","Juan Evo Morales Ayma3",4,2016-07-28,2018-03-23,6.4,"Pedro Pablo Kuczynski","Centro","Derecha",FALSE
"2117-BOL-PER-43641",2019-06-25,2015,"Peru","Juan Evo Morales Ayma3",4,2018-03-23,2020-11-09,4.5,"Martín Vizcarra","Centro","Centro",TRUE
"2117-BOL-URY-40007",2009-07-13,2005,"Uruguay","Juan Evo Morales Ayma1",2.20000004768372,2005-03-01,2010-03-01,3,"Tabare Ramon Vazquez Rosas","Izquierda","Centro",FALSE
"2117-BOL-URY-42061",2015-02-26,2015,"Uruguay","Juan Evo Morales Ayma3",4,2010-03-01,2015-03-01,2.5,"Jose Alberto Mujica Cordano","Centro","Izquierda",FALSE
"2117-BOL-VEN-39590",2008-05-22,2005,"Venezuela","Juan Evo Morales Ayma1",2.20000004768372,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2117-BOL-VEN-39634",2008-07-05,2005,"Venezuela","Juan Evo Morales Ayma1",2.20000004768372,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2117-BOL-VEN-39750",2008-10-29,2005,"Venezuela","Juan Evo Morales Ayma1",2.20000004768372,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2117-BOL-VEN-40297",2010-04-29,2010,"Venezuela","Juan Evo Morales Ayma2",2.90000009536743,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2117-BOL-VEN-40750",2011-07-26,2010,"Venezuela","Juan Evo Morales Ayma2",2.90000009536743,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2117-BOL-VEN-40803",2011-09-17,2010,"Venezuela","Juan Evo Morales Ayma2",2.90000009536743,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2117-BOL-VEN-41544",2013-09-27,2010,"Venezuela","Juan Evo Morales Ayma2",2.90000009536743,2013-04-19,2019-01-10,1.37999999523163,"Nicolas Maduro Moros","Izquierda","Izquierda",TRUE
"2117-BOL-VEN-43366",2018-09-23,2015,"Venezuela","Juan Evo Morales Ayma3",4,2013-04-19,2019-01-10,1.37999999523163,"Nicolas Maduro Moros","Centro","Izquierda",FALSE
"2117-BOL-VEN-43497",2019-02-01,2015,"Venezuela","Juan Evo Morales Ayma3",4,2019-01-10,2099-12-31,4.5,"Nicolas Maduro Moros2","Centro","Centro",TRUE
"3766-BOL-VEN-45036",2023-04-20,2020,"Venezuela","Luis Arce",5,2019-01-10,2099-12-31,4.5,"Nicolas Maduro Moros2","Derecha","Centro",FALSE
"3766-BOL-VEN-45189",2023-09-20,2020,"Venezuela","Luis Arce",5,2019-01-10,2099-12-31,4.5,"Nicolas Maduro Moros2","Derecha","Centro",FALSE
"994-BRA-ARG-34747",1995-02-17,1995,"Argentina","Fernando Henrique Cardoso1",4.78000020980835,1989-07-08,1995-07-08,6.09999990463257,"Carlos Saul Menem1","Centro","Derecha",FALSE
"994-BRA-ARG-36504",1999-12-10,1995,"Argentina","Fernando Henrique Cardoso2",4.78000020980835,1999-12-10,2001-12-20,5.90000009536743,"Fernando de la Rua","Centro","Derecha",FALSE
"1780-BRA-ARG-37909",2003-10-15,2000,"Argentina","Luiz Inacio Lula da Silva1",2.44000005722046,2003-05-25,2007-12-10,2.79999995231628,"Nestor Carlos Kirchner","Izquierda","Izquierda",TRUE
"1780-BRA-ARG-38686",2005-11-30,2005,"Argentina","Luiz Inacio Lula da Silva1",2.44000005722046,2003-05-25,2007-12-10,2.79999995231628,"Nestor Carlos Kirchner","Izquierda","Izquierda",TRUE
"1780-BRA-ARG-39198",2007-04-26,2005,"Argentina","Luiz Inacio Lula da Silva2",2.55999994277954,2003-05-25,2007-12-10,2.79999995231628,"Nestor Carlos Kirchner","Izquierda","Izquierda",TRUE
"1780-BRA-ARG-39663",2008-08-03,2005,"Argentina","Luiz Inacio Lula da Silva2",2.55999994277954,2007-12-10,2011-12-10,2.5,"Cristina Fernandez1","Izquierda","Izquierda",TRUE
"1780-BRA-ARG-39925",2009-04-22,2005,"Argentina","Luiz Inacio Lula da Silva2",2.55999994277954,2007-12-10,2011-12-10,2.5,"Cristina Fernandez1","Izquierda","Izquierda",TRUE
"1780-BRA-ARG-40323",2010-05-25,2010,"Argentina","Luiz Inacio Lula da Silva2",2.55999994277954,2007-12-10,2011-12-10,2.5,"Cristina Fernandez1","Izquierda","Izquierda",TRUE
"2652-BRA-ARG-40574",2011-01-31,2010,"Argentina","Dilma Rousseff",3,2007-12-10,2011-12-10,2.5,"Cristina Fernandez1","Centro","Izquierda",FALSE
"2652-BRA-ARG-40886",2011-12-09,2010,"Argentina","Dilma Rousseff",3,2007-12-10,2011-12-10,2.5,"Cristina Fernandez1","Centro","Izquierda",FALSE
"2652-BRA-ARG-41241",2012-11-28,2010,"Argentina","Dilma Rousseff",3,2011-12-10,2015-12-10,1.89999997615814,"Cristina Fernandez2","Centro","Izquierda",FALSE
"2652-BRA-ARG-41389",2013-04-25,2010,"Argentina","Dilma Rousseff",3,2011-12-10,2015-12-10,1.89999997615814,"Cristina Fernandez2","Centro","Izquierda",FALSE
"2652-BRA-ARG-42348",2015-12-10,2015,"Argentina","Dilma Rousseff2",2.6,2015-12-10,2019-12-10,6.3,"Mauricio Macri","Izquierda","Derecha",FALSE
"3531-BRA-ARG-43622",2019-06-06,2015,"Argentina","Jair Messias Bolsonaro",6.6,2015-12-10,2019-12-10,6.3,"Mauricio Macri","Derecha","Derecha",TRUE
"994-BRA-BOL-35902",1998-04-17,1995,"Bolivia","Fernando Henrique Cardoso1",4.78000020980835,1997-08-06,2001-08-06,6.5,"Hugo Banzer Suarez","Centro","Derecha",FALSE
