"Leader_key","presidents","country","Mandato_asignado_inicio","Mandato_asignado_fin","ideology","economy","geopolitics","style","usa","sovereignty","development","reputation","n_viajes","n_viajes_intralatam","pct_intralatam","n_viajes_usa","pct_usa","n_viajes_china","pct_china","n_viajes_europa","pct_europa","bloque_ideologico"
"cristina fernandez de kirchner","Cristina Fernandez1","Argentina",2007-12-10,2011-12-10,2.5,2,2,2.5,2.20000004768372,3.5,3.20000004768372,3.40000009536743,34,19,55.8823529411765,0,0,1,2.94117647058824,6,17.6470588235294,"Izquierda (1-3)"
"cristina fernandez de kirchner","Cristina Fernandez2","Argentina",2011-12-10,2015-12-10,1.89999997615814,1.70000004768372,2,2,1.70000004768372,3.5,3.40000009536743,3.40000009536743,15,5,33.3333333333333,0,0,1,6.66666666666667,6,40,"Izquierda (1-3)"
"dilma rousseff","Dilma Rousseff","Brasil",2011-01-01,2015-01-01,3,3.44000005722046,2.89000010490417,3.10999989509583,2.44000005722046,3.89000010490417,2.89000010490417,3.77999997138977,28,12,42.8571428571429,1,3.57142857142857,0,0,10,35.7142857142857,"Centro (3-5)"
"dilma rousseff","Dilma Rousseff2","Brasil",2015-01-01,2016-08-31,2.6,3.3,2.9,3.6,2.63,4.27,4,2.81,11,7,63.6363636363636,1,9.09090909090909,0,0,3,27.2727272727273,"Izquierda (1-3)"
"eduardo duhalde","Eduardo Alberto Duhalde","Argentina",2002-01-01,2003-05-25,4.59999990463257,4.32999992370605,4,5.09999990463257,4.09999990463257,3.40000009536743,4.19999980926514,3.79999995231628,9,5,55.5555555555556,0,0,0,0,3,33.3333333333333,"Centro (3-5)"
"eduardo frei ruiz-tagle","Eduardo Frei Ruiz-Tagle","Chile",1994-03-11,2000-03-11,4.1399998664856,6,4.57000017166138,5.1399998664856,4.1399998664856,4,4.42999982833862,5,29,12,41.3793103448276,2,6.89655172413793,1,3.44827586206897,6,20.6896551724138,"Centro (3-5)"
"ernesto samper pizano","Ernesto Samper Pizano","Colombia",1994-08-07,1998-08-07,4.1399998664856,5,3.71000003814697,4.32999992370605,3.28999996185303,3.85999989509583,3.14000010490417,3.71000003814697,10,2,20,0,0,1,10,1,10,"Centro (3-5)"
"evo morales","Juan Evo Morales Ayma1","Bolivia",2006-01-22,2010-01-22,2.20000004768372,3.20000004768372,1.70000004768372,2,1.29999995231628,4.90000009536743,4.5,3.79999995231628,23,15,65.2173913043478,0,0,0,0,5,21.7391304347826,"Izquierda (1-3)"
"evo morales","Juan Evo Morales Ayma2","Bolivia",2010-01-22,2015-01-22,2.90000009536743,3.59999990463257,2.20000004768372,2.79999995231628,1.70000004768372,4.80000019073486,4.59999990463257,3.90000009536743,26,13,50,0,0,2,7.69230769230769,8,30.7692307692308,"Izquierda (1-3)"
"evo morales","Juan Evo Morales Ayma3","Bolivia",2015-01-22,2019-11-10,4,4,3,5,1,4,4,4,28,16,57.1428571428571,0,0,1,3.57142857142857,10,35.7142857142857,"Centro (3-5)"
"fernando de la rua","Fernando de la Rua","Argentina",1999-12-10,2001-12-20,5.90000009536743,6.09999990463257,5.5,4.59999990463257,5.90000009536743,3,4,4.09999990463257,13,5,38.4615384615385,2,15.3846153846154,1,7.69230769230769,4,30.7692307692308,"Derecha (5-7)"
